7.100607641099696110e+00 1.190591850317367362e+00
7.291373240804828626e+00 1.821079755357069896e+00
4.700256805918012759e+00 1.883950365539118987e+00
5.181868422903441740e+00 1.539530668656674983e+00
1.996978581580205159e+01 7.847447395248819291e+00
6.590499839279901018e+00 7.392665010138715909e-01
5.166635015879783133e+00 8.797999174123980470e-01
2.573259002827982034e+00 1.580043846562097620e+00
4.900460957611959323e+00 2.468313561869859285e+00
1.426967573459550032e+01 8.020540148677953951e+00
9.304578128552819294e+00 5.404213621606725582e+00
5.632275110412909847e+00 1.607911891229102164e+00
3.103156732259314321e+00 1.509782283567155936e+00
3.817302405090614137e+00 6.008767792497928806e-01
1.252151957138130101e+01 3.240237667895865314e+00
6.073855793530482217e+00 5.779843505881729904e-01
4.724078111191582607e+00 7.017900949536953759e-01
4.150378391847194592e+00 1.258132348120650779e+00
1.064504082945373042e+01 3.113985893880713007e+00
