1.304170718845143817e+01 8.043432964567569954e+00
2.650872102599737445e+01 3.736071921957103026e+00
1.277064618661990991e+01 2.002141016982307065e+00
9.185006603376535850e+00 3.252239854370799321e+00
9.672947833600125112e-01 4.134240928988527908e-01
6.932293078123482610e-01 4.609561379947061943e-01
5.714254373226971495e+00 1.078119176885430575e+00
1.678152742326747937e+00 7.804822637543704644e-01
8.369203826501795618e+00 2.584728011977728279e+00
1.014660185346466292e+01 8.316337811843366179e-01
8.639776313602835600e+00 2.119657386334946381e+00
8.806253792595324370e+00 6.239444701930410009e-01
6.809533412777264871e+00 5.125068117420795710e-01
1.325733212284622908e+01 6.688198275655812708e+00
3.354585238152147042e+00 6.925586203575699873e-01
2.436596821189788820e+00 1.014267032839427873e+00
5.216348718448074351e+00 2.213384179945555807e+00
7.949751951456244470e+00 2.868226492216338297e+00
1.743899648492056542e+01 5.666109535568342181e+00
